Event,Start_Date,Category,Description
Gulf War,1990-08-02,Conflict,Iraq invaded Kuwait causing major oil supply concerns.
Asian Financial Crisis,1997-07-02,Economic,Reduced oil demand across Asia leading to price declines.
September 11 Attacks,2001-09-11,Geopolitical,Terrorist attacks created uncertainty in global markets.
Iraq War,2003-03-20,Conflict,Military invasion of Iraq affected global oil supply expectations.
Global Financial Crisis,2008-09-15,Economic,Financial market collapse sharply reduced oil demand.
Arab Spring,2010-12-17,Political,Uprisings across the Middle East increased supply uncertainty.
Libyan Civil War,2011-02-15,Conflict,Oil production disruptions in Libya affected Brent prices.
Iran Nuclear Sanctions,2012-07-01,Sanctions,International sanctions reduced Iranian oil exports.
OPEC Production Cut Agreement,2016-11-30,OPEC,OPEC agreed to reduce production to stabilize prices.
US Withdrawal from Iran Nuclear Deal,2018-05-08,Sanctions,Renewed sanctions increased geopolitical uncertainty.
Saudi Aramco Facility Attack,2019-09-14,Conflict,Attack temporarily disrupted Saudi oil production.
COVID-19 Pandemic,2020-03-11,Health,Global lockdowns caused an unprecedented drop in oil demand.
OPEC+ Historic Production Cuts,2020-04-12,OPEC,Large coordinated production cuts supported oil prices.
Russia Invades Ukraine,2022-02-24,Conflict,War caused major disruptions in energy markets.
OPEC+ Production Cut,2022-10-05,OPEC,OPEC+ announced another significant production cut .
